epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0184,1.89005,2.82212,1.65476,0.75783,0.14124,0.11129,0.04697,1.67004,2.62903,1.51046,0.0671695,0.000264762,0.000264762
2,31.698,1.69847,2.32172,1.49709,0.49836,0.21245,0.20623,0.10145,1.60877,2.22879,1.51719,0.0340997,0.00052824,0.00052824
3,44.5346,1.62097,2.14561,1.44458,0.76167,0.27986,0.24908,0.14535,1.4975,2.12461,1.42879,0.00102661,0.000788518,0.000788518
4,57.767,1.61776,2.06311,1.43998,0.59439,0.3476,0.31446,0.14419,1.56055,2.07648,1.504,0.0007856,0.0007856,0.0007856
5,70.8352,1.59703,2.00978,1.43274,0.37332,0.38474,0.34262,0.19347,1.53041,1.88419,1.44883,0.0007808,0.0007808,0.0007808
6,84.5186,1.57117,1.94868,1.41061,0.5276,0.28355,0.37972,0.21798,1.45684,1.80258,1.44069,0.000776,0.000776,0.000776
7,98.4333,1.5217,1.86413,1.39449,0.43879,0.44325,0.34273,0.18391,1.50824,1.81535,1.40092,0.0007712,0.0007712,0.0007712
8,112.128,1.53007,1.82281,1.38369,0.48097,0.3034,0.33574,0.18542,1.39544,1.88828,1.37007,0.0007664,0.0007664,0.0007664
9,125.392,1.52106,1.80114,1.3697,0.68703,0.31768,0.37799,0.20943,1.45397,1.76493,1.35313,0.0007616,0.0007616,0.0007616
10,138.678,1.49722,1.73892,1.3599,0.48406,0.39286,0.39715,0.219,1.53883,1.80597,1.40011,0.0007568,0.0007568,0.0007568
11,152.114,1.47604,1.73251,1.35172,0.71763,0.38151,0.39557,0.23023,1.5325,1.78189,1.41626,0.000752,0.000752,0.000752
12,165.519,1.46099,1.66279,1.33356,0.78115,0.39857,0.45404,0.25338,1.51707,1.73885,1.40566,0.0007472,0.0007472,0.0007472
13,178.913,1.46804,1.61772,1.33533,0.71985,0.39825,0.41135,0.23082,1.52297,1.74843,1.37539,0.0007424,0.0007424,0.0007424
14,192.243,1.45157,1.60965,1.32536,0.33452,0.45073,0.42744,0.24854,1.46423,1.72103,1.36616,0.0007376,0.0007376,0.0007376
15,205.578,1.42405,1.53155,1.29895,0.53014,0.54905,0.46356,0.24094,1.47425,1.68649,1.38154,0.0007328,0.0007328,0.0007328
16,218.94,1.41079,1.49341,1.30465,0.36771,0.48334,0.43608,0.23128,1.55075,1.84748,1.41668,0.000728,0.000728,0.000728
17,232.267,1.40554,1.46502,1.28747,0.71209,0.41467,0.46002,0.25048,1.48119,1.72028,1.31723,0.0007232,0.0007232,0.0007232
18,245.611,1.38527,1.40968,1.28094,0.42892,0.62708,0.52033,0.28747,1.46309,1.59866,1.39526,0.0007184,0.0007184,0.0007184
19,259.06,1.35728,1.37231,1.26844,0.40293,0.54521,0.52252,0.29601,1.4583,1.63643,1.36735,0.0007136,0.0007136,0.0007136
20,272.487,1.35762,1.34364,1.25672,0.54174,0.57112,0.50906,0.29964,1.38757,1.61682,1.30221,0.0007088,0.0007088,0.0007088
21,285.975,1.35178,1.31623,1.24853,0.57333,0.57296,0.5586,0.31057,1.38982,1.52943,1.29181,0.000704,0.000704,0.000704
22,299.455,1.32071,1.29893,1.23214,0.51392,0.58491,0.56896,0.29549,1.42621,1.53236,1.32593,0.0006992,0.0006992,0.0006992
23,312.966,1.32972,1.26877,1.23663,0.71979,0.61833,0.64881,0.36485,1.42602,1.51861,1.27298,0.0006944,0.0006944,0.0006944
24,326.406,1.31233,1.22974,1.2162,0.62986,0.6315,0.62572,0.36204,1.39316,1.43071,1.27953,0.0006896,0.0006896,0.0006896
25,340.567,1.29573,1.20486,1.22019,0.64576,0.67626,0.64537,0.39463,1.41368,1.44599,1.28195,0.0006848,0.0006848,0.0006848
26,354.851,1.28427,1.15449,1.19697,0.66701,0.61161,0.6834,0.40271,1.38231,1.44924,1.24958,0.00068,0.00068,0.00068
27,369.095,1.28883,1.16966,1.19809,0.72604,0.60292,0.66834,0.39455,1.37591,1.47331,1.23025,0.0006752,0.0006752,0.0006752
28,383.382,1.27504,1.1441,1.19242,0.53192,0.75495,0.59624,0.34703,1.44488,1.53515,1.26462,0.0006704,0.0006704,0.0006704
29,397.776,1.26262,1.11892,1.19478,0.73405,0.61467,0.66453,0.378,1.42752,1.45086,1.26533,0.0006656,0.0006656,0.0006656
30,412.09,1.27161,1.05936,1.18228,0.65178,0.68854,0.65528,0.38866,1.43159,1.43357,1.2576,0.0006608,0.0006608,0.0006608
31,426.445,1.25266,1.03555,1.16789,0.79262,0.65097,0.7423,0.42866,1.43377,1.36843,1.24298,0.000656,0.000656,0.000656
32,440.609,1.25397,1.0236,1.18152,0.77178,0.68761,0.7373,0.44191,1.38536,1.30433,1.22428,0.0006512,0.0006512,0.0006512
33,454.337,1.20953,1.00974,1.14823,0.70478,0.64957,0.70035,0.42602,1.34382,1.33912,1.20842,0.0006464,0.0006464,0.0006464
34,468.083,1.20212,0.98785,1.15686,0.86438,0.6493,0.75603,0.4566,1.39185,1.36295,1.23332,0.0006416,0.0006416,0.0006416
35,482.441,1.20437,0.99026,1.15223,0.82848,0.57922,0.69955,0.40331,1.37052,1.37987,1.21784,0.0006368,0.0006368,0.0006368
