epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.254,0.8096,1.26582,1.75926,0.98878,0.4771,0.91892,0.63141,0.52652,0.47711,0.91891,0.63157,0.49309,0.62985,0.94232,1.03232,0.93664,9.2516e-05,9.2516e-05,9.2516e-05
2,349.879,0.68989,1.0044,1.00324,0.93049,0.4314,0.88754,0.46329,0.38407,0.4314,0.88754,0.46321,0.35675,0.63124,0.87904,1.49262,0.94316,0.000183349,0.000183349,0.000183349
3,518.165,0.66724,0.97038,0.73045,0.92394,0.87363,0.89407,0.93643,0.7837,0.87409,0.89463,0.93673,0.7302,0.62906,0.86918,0.57446,0.93758,0.000272348,0.000272348,0.000272348
4,686.402,0.66925,0.96977,0.64713,0.92286,0.97285,0.9719,0.98184,0.83138,0.97225,0.97131,0.98122,0.77925,0.60243,0.84893,0.42449,0.91984,0.000269743,0.000269743,0.000269743
5,854.901,0.65566,0.94933,0.57261,0.91908,0.95663,0.95413,0.97661,0.8307,0.95663,0.95413,0.97661,0.7787,0.59876,0.84201,0.43229,0.92356,0.000266991,0.000266991,0.000266991
6,1023.44,0.65011,0.93536,0.514,0.91572,0.95336,0.9637,0.97768,0.8265,0.95336,0.9637,0.97789,0.77175,0.61594,0.87022,0.42186,0.92871,0.000264239,0.000264239,0.000264239
7,1192.22,0.63296,0.91482,0.48837,0.91051,0.94505,0.96622,0.98332,0.83577,0.94458,0.96747,0.9839,0.78147,0.6109,0.8366,0.41902,0.92732,0.000261487,0.000261487,0.000261487
8,1360.14,0.63073,0.90047,0.47873,0.91249,0.96994,0.97556,0.98322,0.84196,0.96951,0.97457,0.98279,0.78065,0.58363,0.8395,0.36811,0.91911,0.000258735,0.000258735,0.000258735
9,1528.23,0.62123,0.89525,0.44298,0.90846,0.96778,0.97697,0.98232,0.8459,0.96694,0.97717,0.98216,0.78814,0.58401,0.83083,0.36769,0.91443,0.000255982,0.000255982,0.000255982
10,1696.09,0.61222,0.88685,0.43521,0.90482,0.97348,0.97369,0.98307,0.83721,0.97255,0.97391,0.98236,0.78621,0.59356,0.81232,0.36988,0.9248,0.00025323,0.00025323,0.00025323
11,1863.48,0.60987,0.87769,0.43003,0.90415,0.88181,0.90516,0.94398,0.80858,0.88175,0.90515,0.94399,0.75414,0.58701,0.82139,0.51208,0.92338,0.000250478,0.000250478,0.000250478
12,2031.75,0.60618,0.87082,0.42749,0.90081,0.97099,0.97573,0.98076,0.84367,0.97039,0.97512,0.98085,0.78748,0.57969,0.82132,0.36284,0.91543,0.000247726,0.000247726,0.000247726
13,2200.33,0.60113,0.86682,0.4048,0.89944,0.95214,0.96497,0.97812,0.84082,0.95046,0.96325,0.97734,0.7872,0.59072,0.8046,0.37825,0.9199,0.000244974,0.000244974,0.000244974
14,2368.28,0.60124,0.85665,0.40374,0.90066,0.96551,0.96747,0.98125,0.83941,0.9621,0.97129,0.98133,0.78713,0.59689,0.82205,0.36052,0.92957,0.000242221,0.000242221,0.000242221
15,2536.9,0.59208,0.84936,0.39618,0.89548,0.9699,0.97907,0.98205,0.84626,0.96987,0.97903,0.98195,0.7905,0.59564,0.79771,0.35194,0.92375,0.000239469,0.000239469,0.000239469
16,2705.1,0.59108,0.85229,0.38332,0.89631,0.9649,0.96192,0.97923,0.84448,0.96528,0.96226,0.97892,0.78494,0.57998,0.81346,0.3713,0.92144,0.000236717,0.000236717,0.000236717
17,2873.74,0.58842,0.83852,0.37952,0.89253,0.96624,0.97171,0.98263,0.85017,0.96533,0.97137,0.98206,0.79127,0.56936,0.81112,0.35198,0.91195,0.000233965,0.000233965,0.000233965
18,3042.3,0.57898,0.834,0.36591,0.88898,0.97212,0.98034,0.98223,0.85046,0.96943,0.98206,0.98174,0.79378,0.56915,0.81031,0.3354,0.91661,0.000231213,0.000231213,0.000231213
19,3210.43,0.57674,0.83296,0.3637,0.8899,0.96821,0.97634,0.98356,0.85012,0.96757,0.9757,0.98276,0.78975,0.57612,0.82547,0.3513,0.9163,0.00022846,0.00022846,0.00022846
20,3379.21,0.57212,0.81927,0.35881,0.88622,0.97192,0.97632,0.98527,0.85893,0.97159,0.97813,0.98447,0.79844,0.56785,0.80154,0.33284,0.91664,0.000225708,0.000225708,0.000225708
21,3546.88,0.56657,0.8172,0.35156,0.88552,0.9731,0.9802,0.98344,0.85071,0.97251,0.97959,0.98304,0.79515,0.58264,0.82131,0.33667,0.92745,0.000222956,0.000222956,0.000222956
22,3714.57,0.56303,0.80808,0.3452,0.88319,0.95459,0.96353,0.97874,0.84638,0.95402,0.96296,0.9782,0.78856,0.57528,0.82653,0.3622,0.92,0.000220204,0.000220204,0.000220204
23,3882.31,0.56152,0.80772,0.34942,0.88136,0.96798,0.97393,0.9831,0.85449,0.96689,0.9728,0.98197,0.79507,0.57429,0.8254,0.34162,0.91779,0.000217452,0.000217452,0.000217452
24,4050.38,0.55725,0.80239,0.34225,0.8795,0.97336,0.98018,0.98529,0.86171,0.97226,0.97898,0.98386,0.80291,0.56476,0.81535,0.32369,0.91657,0.000214699,0.000214699,0.000214699
